file_name,file_type,folder_path,drive_file_id,modified_time,card_suit,card_rank,chip_value,notes
"Gemini CLI Environment Setup Checklist",gdoc,,1dWUvJZhVTkf_v6tc5XYFhXe_7phj37SlT5kgeX177D8,2026-03-31T04:57:13.323Z,TBD,TBD,1,
"seek_pdf✅Following.pdf",pdf,,1TR7rAZFX1fS40BpUxK7GVYK_m6OZPuq9,2026-04-01T11:15:55.437Z,TBD,TBD,1,
"focalboard",gdoc,,1eWDimp2ZANmLz6FDnXn6AMa12Kngyza3o__TFLYVEhA,2026-03-31T07:15:36.725Z,TBD,TBD,1,
"🍾Legacy_exchange",shortcut,,1kij7ylInn79gHkCbd1Mmjt2pGvsP453u,2025-12-25T01:24:50.325Z,TBD,TBD,1,"shortcut, not followed"
THE_PRIMORIS_PROJECT_A_Master_Plan.pdf,pdf,🌳primoris,1hb5Yi0DKWZIQHDGR8v-gK6S07UaMkkDv,2026-03-06T05:41:27.686Z,TBD,TBD,1,
First_sparklization_impression.txt,text,🌳primoris,1zgwzaT_-8yLlVP7nwmuUh1PXPt1Fx78Y,2026-05-06T00:38:02.470Z,TBD,TBD,1,
🌳THE_PRIMORIS_PROJECT_Master_Plan,gdoc,🌳primoris,1Shc_DDhs55Y3diGrtjxr_2IT_UPnYj7YofMS0wF-GCE,2026-04-10T08:22:22.358Z,TBD,TBD,1,
💬🐇gubernatio.txt,text,🌳primoris,19_v9fiT9ZuzKg23gKyB7b-KSonWkP9pj,2026-03-18T00:11:30.516Z,TBD,TBD,1,
origin_to_primoris_migration_001.txt,text,🌳primoris,1Ha_bDoQ48Hgo46lXKEHdBHkm7RC1BIRN,2026-04-22T03:53:28.873Z,TBD,TBD,1,
🔐 Primoris_Observation_Workflow_v2 — BM-20260419113547,gdoc,🌳primoris,1hWbZEZN-dHX2t2v0WM-0gh34XgpnyrPIBDbdlp3kNL4,2026-04-19T11:37:43.055Z,TBD,TBD,1,
waste_is_information.txt,text,🌳primoris,1etizAJR8wUIgXY2qpgLWNF38LLeiIx9m,2026-04-22T03:54:50.883Z,TBD,TBD,1,
Origin_of_Unified_Resonance_division,gdoc,🌳primoris,1DhkECWydZLdYwjk-Y2i7XMDfllCi_hbE2yEyCBxZ97M,2026-04-21T04:53:22.284Z,TBD,TBD,1,
Mulberry Podium,gdoc,🌳primoris,1Vv3oRss5XcDuKw90XBoeSdQwpuazPIKZWTtRgDimlms,2026-04-21T03:12:07.911Z,TBD,TBD,1,
Mulberry Podium,text,🌳primoris,1IpAgMKXfYHqEX3SmPOHM30xFvAyzddmd,2026-04-21T02:57:47.070Z,TBD,TBD,1,
€MOMENTUM ARCHIVE: The Perpetual Gathering,text,🌳primoris,1PXaryWTE09Bo2d8RFr-TfTHfq4TlutYR,2026-04-01T11:16:13.148Z,TBD,TBD,1,
python-sure.txt,text,🌳primoris,13Qz39wC4yZuUo8NeHF0E7xLE8dFa4ar0,2026-04-01T04:45:28.320Z,TBD,TBD,1,
To install.txt,text,🌳primoris,1i45YmHcimcaS5kA8XiKqrjDC5qY77I4k,2026-04-01T04:44:00.822Z,TBD,TBD,1,
python-sure.txt,text,🌳primoris,1RSvCX470aKaictfFORGlEaAwb9QTsXYv,2026-04-01T04:41:09.813Z,TBD,TBD,1,
latin_is_simple,text,🌳primoris,13uUSOhk7e0KM7tknpprDOidCOTDwIhPa,2026-03-20T08:15:48.107Z,TBD,TBD,1,
AI Mode All.txt,text,🌳primoris,1xqoPSPHYkkCSKipIcboOH_kzd3FlKjtx,2026-03-29T05:33:47.195Z,TBD,TBD,1,
Each aspect.txt,text,🌳primoris,1lx31scUN-8uKgvfPPaz169_uDGyvq1TY,2026-03-29T02:02:46.390Z,TBD,TBD,1,
Each aspect.txt,text,🌳primoris,16RQlsFDEkTt3m0KNC3kcbwt0gfkcNyMZ,2026-03-29T01:56:26.272Z,TBD,TBD,1,
second.txt,text,🌳primoris,1neo5MOwSZSAkrVWqNXh67nklnBbjhc4w,2026-03-28T23:16:04.184Z,TBD,TBD,1,
Hi Perplexity..txt,text,🌳primoris,1M8vs4JTKy9xckkhwJ5AcJK5BZKV8DqBW,2026-03-28T22:04:45.522Z,TBD,TBD,1,
{.txt,text,🌳primoris,1mwSqRR-x8Q8kJlnFBeqRC2p9Nd8yQfKM,2026-03-28T18:46:36.366Z,TBD,TBD,1,
let's create.txt,text,🌳primoris,1sdpzumMbdaeo-nI1ZhM1jyms2oOK81Ab,2026-03-28T18:42:00.665Z,TBD,TBD,1,
**navigo_nexusu.txt,text,🌳primoris,16BpR-vydUGSJ4Gz87Hta8NZoLFS0RWMZ,2026-03-28T18:41:48.567Z,TBD,TBD,1,
the I was not.txt,text,🌳primoris,1aKhcXs1rtGqrVfI7vqtcmY0K7bqHo4bT,2026-03-28T10:49:09.876Z,TBD,TBD,1,
https://drive.g.txt,text,🌳primoris,1755laDgHQsxtVq13j7s1oECMEJfop4Ib,2026-03-28T10:48:51.412Z,TBD,TBD,1,
the only thing.txt,text,🌳primoris,19rsNyj7IklXhhHQ2chCESHNg53SfOWLd,2026-03-28T10:48:02.260Z,TBD,TBD,1,
Hi Claude.txt,text,🌳primoris,1UwdsOxYiXWOGBLCz0rEP1MaSkD-h1vLM,2026-03-28T10:47:35.568Z,TBD,TBD,1,
*Taking the.txt,text,🌳primoris,1QkeyevvJul9vAntGyVSjdcHAL2TD0Cbf,2026-03-28T10:47:23.495Z,TBD,TBD,1,
